# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
C14H18O4,66935,72270,69602.5,1044538,1041111,1224977,1243869,902188,1302667,2156847,1223267,1327453,1124371,1114342,1052442,703983,1002616,801599,988873,598332,1267419,918889,1252203,1264099,888942,1033254,939174,7626509,1054367,1609849,1466411,1503060,1577867,1728345,1780886,1885987,1649048,7471015,1070032,1798087,1843802,1794927,1340813,6866181,2042622,649180,3115202,2450937,1304227,1799255,2800193,,"C14H18O4 [ C14 H18 O4, tgt=, overall=92.76, db=92.76 ]",,,C14H18O4,8.503999,"(251.1273, 663984.25)(252.1302, 72135.19)(253.1339, 8721.97)",250.1189,Esi+,C14 H18 O4,50,FindByFormula
C27H44N6O,15635,1,7818,4746110,4837869,5839313,6283614,3805519,5967798,5088142,3884908,4853849,5395076,4059425,3279105,1491061,7049304,7191529,4737323,5153597,6588411,4292498,6475143,5078527,5526628,6271111,6285185,831441,1431546,6336894,1751426,2885679,4168672,8425812,6025364,8280967,5803745,4210961,1042305,3655734,2016100,3886086,1351239,624577,1977498,935742,31081,1068898,1055766,2112184,1371794,,"C27H44N6O [ C27 H44 N6 O, tgt=, overall=98.39, db=98.39 ]",,,C27H44N6O,13.2269945,"(469.3644, 687937.44)(470.3673, 202965.67)(471.37, 29789.59)(472.3728, 3578.26)",468.3564,Esi+,C27 H44 N6 O,50,FindByFormula
C14H20N2,7363625,7459766,7411695.5,4682687,4584964,4580493,5099537,5179544,5099709,5389908,5831457,5194242,5614003,6351202,5055380,5332278,4334183,5302141,4471082,5981959,4988710,4536218,4830100,5180959,4525490,4386790,4659712,5559615,5469954,6487402,6120307,6828853,5811209,5988542,5902970,6113295,6738576,6068430,7071912,7440321,7041391,6533790,6546487,5815665,6800206,7073233,6231657,6899398,7553034,7669520,5915067,,"C14H20N2 [ C14 H20 N2, tgt=, overall=80.10, db=80.10 ]",,,C14H20N2,7.4060035,"(217.1697, 784598.25)(218.1723, 48375.25)(219.1739, 7272.48)",216.1632,Esi+,C14 H20 N2,50,FindByFormula
C18H35NO,207497,401173,304335,339430,331091,266797,334776,381806,240887,231296,345225,299988,434849,679921,227446,486239,701610,682424,534539,635887,769239,310621,403811,1,420310,321095,397958,1101571,420034,401570,674696,341130,628854,542782,396911,796131,1623881,865185,310981,479266,404929,559924,3962112,6569378,1874086,331298,784467,3030076,310289,1294486,835945,,"C18H35NO [ C18 H35 N O, tgt=, overall=95.98, db=95.98 ]",,,C18H35NO,12.383997,"(282.2788, 829360.9)(283.2816, 138297.62)(284.2843, 12450.98)(563.549, 26942.13)(564.5514, 10840.73)(565.5534, 2202.65)",281.2693,Esi+,C18 H35 N O,49,FindByFormula
C17H28N2O2S,94061,110760,102410.5,2822702,2518384,3447523,3342408,2016538,3158858,2745386,2214876,2972540,2531187,2277182,1959939,2074581,3292811,2208269,2668555,1552646,3215514,2597647,3440334,3583717,2293340,2253986,2200642,2381003,3277001,5131006,4884819,5558646,5520482,4407050,4794437,6491303,4085474,3686344,2679061,410357,1047638,454294,2983697,4854940,753029,263515,6604406,317941,535299,1052017,4086096,,"C17H28N2O2S [ C17 H28 N2 O2 S, tgt=, overall=88.56, db=88.56 ]",,,C17H28N2O2S,9.895997,"(325.1949, 692682.56)(326.1978, 104003.16)(327.2002, 13537.35)(649.3844, 5147.11)",324.1904,Esi+,C17 H28 N2 O2 S,50,FindByFormula
C27H36F2O5 Esi+10.853,38195,1,19098,922452,678097,1237549,1250749,733867,1156576,3159441,714941,1003438,1161650,1034393,860594,937876,1189588,864792,1753266,438997,1069138,726116,1104733,1271934,882845,968019,909356,1.76E+07,3907896,6558475,4797066,5221198,4892888,3021293,4054006,4527224,5269882,1.60E+07,2909095,3952503,4457375,3768480,4220117,2.17E+07,6370009,1567129,7269198,6893557,4425330,6496689,4648042,,"C27H36F2O5 [ C27 H36 F2 O5, tgt=, overall=75.22, db=75.22 ]",,,C27H36F2O5 Esi+10.853,10.853,"(479.2618, 1505421.4)(480.2652, 372352.22)",478.249,Esi+,C27 H36 F2 O5,50,FindByFormula
115.9789@15.895997,7318020,7702208,7510114,7300302,7467022,7427044,7071829,7237055,7007660,7430216,7237626,7399865,7090445,7358810,7123890,7235804,7220423,7366253,7533959,7378597,7583505,7203171,7114393,7290978,7319991,7343694,7584545,7578589,7305487,7551266,7638890,7347084,7312404,7484100,7133570,7547309,7593898,7276746,7220747,7355380,7509143,7561769,7497766,7421047,7503346,7546372,7498919,7453824,7465710,7431190,7591627,,,,,115.9789@15.895997,15.895997,"(116.9862, 375788.44)(117.9894, 7461.44)(118.9858, 2974.83)",115.9789,Esi+,,50,FindByFormula
CH4ClO3P,7359409,7647808,7503608.5,7582397,7482690,7452522,7428672,7558199,7527440,7625386,7561668,7739705,7503979,7826796,7650135,8682464,7522686,7419953,7607170,7632062,7554320,7281357,6310871,7161898,7091960,7222234,7045973,8508461,7530897,7189284,7187765,7433793,7464232,7277110,7334988,7386852,7222088,7178190,7374974,7385158,8630856,6303700,7228702,7187184,7255340,7100750,6923416,7208500,6230589,6130167,6771250,,"CH4ClO3P [ C H4 Cl O3 P, tgt=, overall=71.47, db=71.47 ]",,,CH4ClO3P,15.90501,"(130.9655, 257173.92)(131.9641, 6455.19)(132.9582, 89920.51)(133.9619, 4225.0)",129.9581,Esi+,C H4 Cl O3 P,50,FindByFormula
C8H13FN4,3086411,4003233,3544822,3139775,2723419,2876612,3085550,2918515,3384048,3260654,3371345,2779028,3623858,3255589,3067292,3822408,2877791,3081374,3236857,3414611,3169907,3628268,3117860,3069840,2942032,4029433,3146541,3487686,3943489,4517061,4306930,4527608,4503028,3719790,3856638,3644506,4324639,4615836,4608872,4250899,4708152,4631203,6718177,5327771,3971630,3987887,4060837,4271187,4411774,4694492,5224205,,"C8H13FN4 [ C8 H13 F N4, tgt=, overall=96.01, db=96.01 ]",,,C8H13FN4,6.5750012,"(185.1193, 550527.06)(186.1225, 40903.88)(187.1245, 3710.97)",184.1102,Esi+,C8 H13 F N4,50,FindByFormula
C17H32N2O4,44479,140338,92408.5,519395,214733,703747,346866,187587,344397,444774,400722,446510,798914,683885,438639,1139995,807361,964773,524594,239675,768660,460762,635303,1095167,487206,723096,609041,1655858,2068738,3154457,3002062,3586814,3811439,1331791,2700040,2442869,1814184,1850825,979648,4333764,2985674,3725718,2418642,3129376,4064557,1092293,1703740,5608542,2228858,2164908,1610878,,"C17H32N2O4 [ C17 H32 N2 O4, tgt=, overall=98.75, db=98.75 ]",,,C17H32N2O4,12.2000065,"(329.2438, 756315.5)(330.2469, 162416.12)(331.2495, 17366.11)",328.2348,Esi+,C17 H32 N2 O4,50,FindByFormula
