# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
680.4238@10.062004,1,1,1,98296,93318,96955,96938,51951,85894,86711,79429,85745,79171,75832,66179,81744,114571,82539,86436,45650,93914,79335,96942,105617,71766,77518,77750,103927,116761,129347,112797,116177,121237,115219,101001,128184,81606,93870,91286,77741,93996,79124,75599,127336,130503,1,161522,118524,94523,112999,101841,,,,,680.4238@10.062004,10.062004,"(681.4304, 5754.04)(682.4334, 2049.44)",680.4238,,,50,FindByFormula
C21H19N9O,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,116384,101505,123919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C21H19N9O [ C21 H19 N9 O, tgt=, overall=77.40, db=77.40 ]",,,C21H19N9O,10.401,"(414.1773, 7892.61)(415.1829, 2093.59)",413.1714,,C21 H19 N9 O,50,FindByFormula
C50H80O17,1,1,1,30891,29017,54132,26814,1,24785,1,1,25744,36464,31764,24399,25645,32414,1,35597,1,35967,1,24142,30491,1,1,1,39989,65440,103582,149729,133415,141480,29848,48900,53544,46633,49790,16946,94519,122505,145633,69360,91919,136744,27686,142109,98092,50358,95099,67743,,"C50H80O17 [ C50 H80 O17, tgt=, overall=32.77, db=32.77 ]",,,C50H80O17,11.801,"(953.5397, 7165.73)(954.5429, 3872.5)",952.531,,C50 H80 O17,50,FindByFormula
C21H44NO7P,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21931,1,1,1,81350,1,86620,1,112785,288327,1,1,1,1,1,102789,175193,122634,1,1,1,98027,46421,70633,1,1,75762,91963,295729,97145,52340,32852,1,,"C21H44NO7P [ C21 H44 N O7 P, tgt=, overall=63.99, db=63.99 ]",,,C21H44NO7P,12.237001,"(454.2912, 27273.12)(455.3017, 8610.78)",453.2852,,C21 H44 N O7 P,21,FindByFormula
C25H40N2O6S 10.178003,1,1,1,544172,470233,667137,779371,466279,730740,544378,419039,616306,542629,468565,399400,367692,825235,603338,477375,297781,593701,474230,692825,708844,429871,612558,412159,125369,910954,713315,1334701,1651841,1566644,391507,393930,627659,183454,301827,575599,120177,342628,139077,898774,1701239,218427,42409,2722688,114160,103959,247243,1044465,,"C25H40N2O6S [ C25 H40 N2 O6 S, tgt=, overall=66.71, db=66.71 ]",,,C25H40N2O6S 10.178003,10.178003,"(497.2668, 169380.52)(498.2694, 38554.79)",496.2569,,C25 H40 N2 O6 S,50,FindByFormula
C32H55N7O7,1,1,1,411145,449906,462144,443462,274817,422343,456223,417161,400308,479711,455830,400366,54163,63826,86103,74518,219156,371335,387183,321998,68934,87437,439954,425993,66951,122515,1,77302,67389,114582,1,1,1,43246,1,1,85561,105304,288663,48879,38218,1,1,49633,56380,115700,92853,403061,,"C32H55N7O7 [ C32 H55 N7 O7, tgt=, overall=39.34, db=39.34 ]",,,C32H55N7O7,11.704004,"(650.4177, 40037.61)(651.4194, 12099.41)",649.4202,,C32 H55 N7 O7,45,FindByFormula
C30H34O2,1,1,1,43119,56782,56361,61371,27237,65741,34230,1,35440,52708,40156,42925,38868,75015,1,1,1,1,32068,35111,71900,1,64806,1,50776,1,1,1,98344,97486,1,80057,111888,77132,64947,1,1,1,1,35844,78639,1,1,128470,1,1,1,1,,"C30H34O2 [ C30 H34 O2, tgt=, overall=77.69, db=77.69 ]",,,C30H34O2,10.47,"(427.2632, 10127.12)(428.2668, 2644.12)",426.26,,C30 H34 O2,39,FindByFormula
C32H46O6,1,1,1,47001,51650,1,1,140592,55821,114185,56755,208860,40665,1,76155,68265,39638,45614,150146,49853,32000,34662,45455,45466,34543,63435,61655,73006,76213,143826,126788,166093,188022,97351,122141,129971,99112,96925,43356,61481,62401,58841,136504,132839,118153,22894,75142,115790,101315,114258,73143,,"C32H46O6 [ C32 H46 O6, tgt=, overall=57.85, db=57.85 ]",,,C32H46O6,11.8930025,"(527.3411, 2253.3)(528.3404, 685.82)(529.342, 10030.04)",526.3448,,C32 H46 O6,50,FindByFormula
C20H29FN2O2Si,1,1,1,1,1,1,53822,1,44953,55395,37796,59930,42912,39863,1,32904,12558,1,44328,1,59205,52837,60068,55128,51390,1,48299,1,53440,38129,1,1,1,83872,112986,110193,1,1,1,49067,77114,30744,1,1,91401,27706,1,82781,43346,70878,63701,,"C20H29FN2O2Si [ C20 H29 F N2 O2 Si, tgt=, overall=74.20, db=74.20 ]",,,C20H29FN2O2Si,11.343997,"(377.2047, 11879.08)(378.2081, 3176.2)",376.1973,,C20 H29 F N2 O2 Si,49,FindByFormula
C41H54N6S2,1,1,1,70508,61066,100170,77333,56064,79613,61565,52359,70671,88108,76440,53687,69367,134463,127194,86814,53836,87004,53302,74877,83085,49508,105177,52587,99356,135538,257924,241464,284344,260639,107111,150750,173961,160433,140391,61447,187318,250835,207614,163255,265380,148456,58776,343399,181008,105223,160234,140059,,"C41H54N6S2 [ C41 H54 N6 S2, tgt=, overall=58.80, db=58.80 ]",,,C41H54N6S2,11.416995,"(695.3885, 8849.33)(696.3924, 3474.73)(697.4018, 3619.35)(698.4053, 1079.36)",694.3825,,C41 H54 N6 S2,50,FindByFormula
C36H68N10O9,1,1,1,432085,390459,1,1,1,1,266630,1,1,273295,267992,1,238048,1,1,1,216452,1,296273,1,1,1,1,1,425503,1,1,1,1,1,1,1,1,324928,333116,308528,1,1,1,126330,1,114206,1,1,146919,1,1,1,,"C36H68N10O9 [ C36 H68 N10 O9, tgt=, overall=52.37, db=52.37 ]",,,C36H68N10O9,12.699998,"(785.526, 2820.54)(786.5237, 1847.5)(787.5242, 2471.9)",784.5069,,C36 H68 N10 O9,19,FindByFormula
C30H55O3P,1,1,1,36290,42009,76351,49726,1,1,58774,51645,55041,64087,24911,1,54178,70163,61770,1,1,46887,1,1,70807,1,55332,1,1,45348,54687,59317,79634,73932,1,54254,69314,62869,44520,1,185484,106202,198403,78531,99154,122375,1,1,126356,73277,42779,29589,,"C30H55O3P [ C30 H55 O3 P, tgt=, overall=55.79, db=55.79 ]",,,C30H55O3P,12.75,"(495.4003, 4912.37)(496.4031, 1535.32)",494.3918,,C30 H55 O3 P,50,FindByFormula
C48H36Si,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27991,44842,34614,51700,49761,54080,1,1,1,1,15330,1,117342,114071,136382,1,1,102867,1,53707,89972,53216,49166,39796,,"C48H36Si [ C48 H36 Si, tgt=, overall=41.02, db=41.02 ]",,,C48H36Si,10.214997,"(641.2618, 5767.37)(642.2652, 1689.65)",640.2543,,C48 H36 Si,49,FindByFormula
1119.7318@11.224,1,1,1,159485,144498,1,1,1,1,1,1,1,1,116237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,130798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1119.7318@11.224,11.224,"(560.8743, 4788.82)(561.3753, 2948.45)",1119.7318,,,7,FindByFormula
C60H82N14O13,1,1,1,104936,101536,111113,115902,76730,109135,90372,86081,90362,90512,82939,76875,79091,85435,76573,88661,48149,96649,76729,85001,88674,87646,78368,90001,80054,88763,99593,64882,65907,65908,92412,92072,104644,72894,74761,68432,1,16292,1,75333,101298,11581,1,130159,1,1,19959,81948,,"C60H82N14O13 [ C60 H82 N14 O13, tgt=, overall=22.98, db=22.98 ]",,,C60H82N14O13,8.807004,"(1207.615, 9072.71)(1208.618, 5443.84)",1206.6072,,C60 H82 N14 O13,50,FindByFormula
C29H34O4 9.286995,1,1,1,25300,1,47219,42295,31189,30365,40766,35221,42305,42720,35396,29611,1,1,1,44453,1,53423,39217,42794,51639,33250,1,34372,38102,51077,76141,72444,85851,86578,62631,77240,98462,57732,57901,1,1,1,1,41842,69338,1,1,111752,1,1,18948,54665,,"C29H34O4 [ C29 H34 O4, tgt=, overall=79.35, db=79.35 ]",,,C29H34O4 9.286995,9.286995,"(447.2526, 9694.29)(448.2565, 2684.51)",446.2469,,C29 H34 O4,50,FindByFormula
1466.857@11.722998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20484,77444,1,1,1,1,1,1,1,,,,,1466.857@11.722998,11.722998,"(734.4411, 7260.72)(734.9426, 5305.87)(735.4441, 2806.51)",1466.857,,,50,FindByFormula
C70H88S3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84440,43673,32304,31780,1,1,1,1,31519,1,1,1,92070,57607,1,43564,1,52561,154297,106265,120435,79086,100018,109016,1,1,1,37943,1,53504,1,1,48770,33182,81925,1,,"C70H88S3 [ C70 H88 S3, tgt=, overall=34.91, db=34.91 ]",,,C70H88S3,10.200005,"(513.306, 5655.82)(513.81, 2537.35)",1024.601,,C70 H88 S3,50,FindByFormula
C28H26N2O7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16490,1,1,1,11256,13395,27714,33331,1,1,1,1,25820,46882,61876,67689,69074,70131,82577,111577,30095,1,1,1,1,1,1,1,1,1,29226,1,1,1,23850,,"C28H26N2O7 [ C28 H26 N2 O7, tgt=, overall=73.97, db=73.97 ]",,,C28H26N2O7,8.885003,"(503.1825, 14627.57)(504.1855, 3653.46)",502.1741,,C28 H26 N2 O7,50,FindByFormula
725.4697@12.682002,1,1,1,448785,342208,1,1,1,157533,1,1,1,1,175068,1,1,1,1,286634,1,1,1,1,1,1,1,1,1,1,1,348853,1,358988,1,292416,295573,311170,314800,1,1,1,1,324581,1,1,1,325390,1,258143,1,1,,,,,725.4697@12.682002,12.682002,"(726.4768, 1707.13)(727.4772, 2498.01)(728.4785, 2013.33)",725.4697,,,17,FindByFormula
1392.8989@11.898005,1,1,1,1,1,111872,1,58137,94089,1,96094,100598,107599,1,94234,1,129432,99226,94648,50241,97962,91695,104890,1,1,105079,99416,1,1,147302,122281,126236,123748,121698,111187,128724,113771,1,1,111250,129726,109784,1,143279,1,1,151845,120481,105213,126574,118118,,,,,1392.8989@11.898005,11.898005,"(697.4672, 4079.48)(697.97, 2827.25)(698.4686, 1473.55)",1392.8989,,,50,FindByFormula
C31H48O6 12.740998,1,336837,168419,61106,1,860694,238087,1,104456,97556,1,81264,35341,28612,535571,1,20687,202443,129952,1,571965,544797,1,54448,111358,1,641654,988887,998692,510397,1197997,1,288733,788027,216480,129179,1624437,1291944,993964,1,1,339296,1610341,144077,74131,1,1,1,1,67647,195644,,"C31H48O6 [ C31 H48 O6, tgt=, overall=56.56, db=56.56 ]",,,C31H48O6 12.740998,12.740998,"(517.349, 62348.86)(518.3503, 18147.34)(519.3639, 32722.81)",516.3388,,C31 H48 O6,40,FindByFormula
1623.0416@12.666995,1,1,1,271828,315109,275831,315242,147207,195547,205581,184397,215675,241128,235244,191515,237757,246861,145882,220862,129889,199793,201892,233398,247307,220225,207614,232246,299296,324348,394779,337881,404973,291950,254653,253865,257195,229306,340416,296350,298522,241905,211145,124082,352953,377735,1,256243,284447,212351,261383,230549,,,,,1623.0416@12.666995,12.666995,"(812.5376, 4051.4)(813.0385, 825.01)(813.5395, 2784.31)",1623.0416,,,50,FindByFormula
806.5376@12.6690035,1,1,1,235785,260234,163557,100516,1,81366,149159,104157,168354,165302,105078,71754,83461,1,1,128332,110827,114051,152074,104405,192701,108381,87143,109729,288751,229659,228687,65603,1,1,1,1,451465,1,171979,89588,83133,200028,1,34865,40121,1,1,1,1,135602,1,39534,,,,,806.5376@12.6690035,12.6690035,"(807.5536, 6688.94)(808.5844, 48441.58)(809.5869, 22211.55)",806.5376,,,46,FindByFormula
1038.8412@14.286006,1,1,1,545796,448842,375368,387969,352103,387570,400097,170915,398752,215388,350980,319449,158041,325306,349788,230423,390454,386044,372538,376653,410461,368693,377990,413055,528018,415772,329513,280716,222471,109945,1,1,297766,291354,292843,248592,162126,1,1,1,1,1,1,1,197044,197822,1,1,,,,,1038.8412@14.286006,14.286006,"(1039.848, 2747.55)(1040.8508, 2191.77)(1041.8508, 1171.57)",1038.8412,,,50,FindByFormula
C19H28O7,1,1,1,152277,98943,120866,106521,57435,92392,97150,63189,85109,80430,72742,65917,59486,133460,75239,101324,68853,128239,76361,159494,108553,78108,1,78413,70511,79983,122600,109458,120211,124785,123510,120264,163300,95215,89256,18374,24669,32644,24756,1,85108,27059,1,152381,27029,40725,30102,81926,,"C19H28O7 [ C19 H28 O7, tgt=, overall=80.15, db=80.15 ]",,,C19H28O7,8.687003,"(369.1897, 10814.03)(370.1931, 1988.06)",368.1786,,C19 H28 O7,49,FindByFormula
1510.9796@11.741002,1,1,1,1,1,1,1,1,120371,1,1,1,122302,131691,116822,73470,1,1,89074,68487,115957,1,101939,95273,91025,1,1,74225,132967,123627,101636,104818,134396,59141,58115,72655,68102,79498,53193,117841,137092,118111,75936,87282,106105,1,109209,93545,100625,95805,122346,,,,,1510.9796@11.741002,11.741002,"(756.4995, 4774.21)(757.0012, 3804.01)(757.5022, 2039.64)",1510.9796,,,50,FindByFormula
C23H21FN2O7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20804,121827,101624,24953,1,1,1,1,1,1,1,1,1,1,1,1,,"C23H21FN2O7 [ C23 H21 F N2 O7, tgt=, overall=77.40, db=77.40 ]",,,C23H21FN2O7,9.346002,"(457.1418, 6088.16)(458.1452, 1670.53)",456.1355,,C23 H21 F N2 O7,50,FindByFormula
612.439@10.866,1,1,1,104677,106484,118081,111324,62120,97939,102672,91910,104099,112928,104596,90768,93102,132525,96121,90031,49860,102090,92408,117260,120038,100109,103977,102551,101636,128461,179258,138940,141248,145007,113470,114877,149027,122681,120385,105603,106326,126109,110093,86866,148979,144962,1,174507,140446,103649,139303,120587,,,,,612.439@10.866,10.866,"(613.4409, 9211.73)(614.444, 3135.62)",612.439,,,50,FindByFormula
680.4151@11.726996,1,1,1,196964,195875,67720,191326,125625,174479,186543,168625,165107,62402,189595,156105,17974,213796,164203,83845,111080,34172,171380,30510,182604,176079,206812,182401,1,1,76359,117717,126711,139847,35293,56780,40439,33186,64988,35611,77907,65479,87872,79463,55414,103431,1,124179,141427,63006,117281,59261,,,,,680.4151@11.726996,11.726996,"(681.4205, 13221.88)(682.4232, 5245.93)",680.4151,,,47,FindByFormula
C24H46N2O6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,431678,613799,1,1,1,1,1,1,1,1,1,1696410,441173,817673,1,1,1,1,1,1681443,470527,500499,398266,,"C24H46N2O6 [ C24 H46 N2 O6, tgt=, overall=75.46, db=75.46 ]",,,C24H46N2O6,12.350002,"(459.3399, 148690.67)(460.3427, 39064.79)(461.3498, 13723.46)",458.335,,C24 H46 N2 O6,24,FindByFormula
C23H18N2O4,1,1,1,66717,61404,71776,59674,23910,51684,64362,53022,61081,53486,49671,44996,1,111858,64385,88286,32786,109072,53247,74585,66553,44278,51914,44821,40580,52417,75432,74387,78525,80933,78318,72009,109110,59060,54396,1,1,1,1,22946,50244,1,1,94285,1,1,1,41923,,"C23H18N2O4 [ C23 H18 N2 O4, tgt=, overall=73.94, db=73.94 ]",,,C23H18N2O4,5.8080006,"(387.1335, 15434.22)(388.1364, 2682.85)",386.1257,,C23 H18 N2 O4,50,FindByFormula
C35H44O,1,1,1,27345,20994,30581,25855,18306,30499,28146,29634,35032,31118,28460,20818,22146,19732,26465,1,1,22812,34230,16110,35246,17443,31838,17878,22818,76764,111513,79882,85431,85166,45198,60391,77115,41026,35009,22575,92287,97330,106512,56154,1,1,1,1,83097,1,1,56180,,"C35H44O [ C35 H44 O, tgt=, overall=51.11, db=51.11 ]",,,C35H44O,12.066994,"(481.3461, 9434.07)(482.3537, 5572.59)",480.3383,,C35 H44 O,43,FindByFormula
C24H42N2O4 12.732996,1,1,1,1007489,15958,28543,26715,23569,7944,46700,48341,45168,37133,14000,1,33563,28031,33419,18642,26836,29424,22669,32444,38146,24829,25875,25809,63909,90303,92870,78234,61395,53274,66536,80346,112904,67705,63837,32002,23025,14905,18764,29931,20160,17735,28992,19636,29595,33785,52492,41435,,"C24H42N2O4 [ C24 H42 N2 O4, tgt=, overall=82.06, db=82.06 ]",,,C24H42N2O4 12.732996,12.732996,"(423.3223, 117264.63)(424.3252, 31494.59)",422.3136,,C24 H42 N2 O4,49,FindByFormula
848.553@12.677001,1,1,1,246555,245648,273323,207164,158840,76500,180756,1,172477,222549,1,1,1,239206,92231,251158,148549,207019,181457,202754,232351,207908,164135,151371,248934,254088,276964,326274,149025,1,1,180589,146393,129482,236928,250253,1,266243,151938,1,1,1,1,153260,144683,153797,237095,203316,,,,,848.553@12.677001,12.677001,"(849.5657, 3088.27)(850.57, 2358.11)(851.5661, 2577.05)",848.553,,,40,FindByFormula
1122.7238@11.730003,1,1,1,147704,431933,1,1,289551,405509,446848,1,255681,1,448853,409043,168171,208241,1,210998,249438,392232,404959,136547,173195,250194,456318,447210,169929,1,1,187966,186089,1,105269,71625,1,154184,112570,71383,198155,1,244154,122546,89380,1,1,145619,177549,217130,1,1,,,,,1122.7238@11.730003,11.730003,"(562.3673, 12193.89)(562.8732, 9131.43)(563.3554, 9313.1)",1122.7238,,,46,FindByFormula
C17H28N6 11.801,1,1,1,1,1,147383,1,1,1,1,1,1,53191,87004,1,1,1,1,1,1,1,1,1,1,1,1,1,109117,80382,81908,89730,104814,102900,54845,113792,61286,188219,207264,147691,123686,97322,100718,60770,90150,130612,1,1,29969,72474,104659,79200,,"C17H28N6 [ C17 H28 N6, tgt=, overall=83.39, db=83.39 ]",,,C17H28N6 11.801,11.801,"(317.2454, 10426.75)(318.249, 2297.47)",316.236,,C17 H28 N6,50,FindByFormula
C34H69NO3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32639,1,1,1,1,1,1,1,66204,77913,1,45139,55857,81054,180267,1,1,60247,113220,1,1,,"C34H69NO3 [ C34 H69 N O3, tgt=, overall=51.78, db=51.78 ]",,,C34H69NO3,13.689004,"(540.5308, 7492.41)(541.5358, 2253.99)",539.5229,,C34 H69 N O3,50,FindByFormula
C17H15F3O2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95429,98952,103490,1,1,1,77828,98618,111746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C17H15F3O2 [ C17 H15 F3 O2, tgt=, overall=85.23, db=85.23 ]",,,C17H15F3O2,9.239997,"(309.1098, 9865.68)(310.1133, 2038.93)",308.1015,,C17 H15 F3 O2,50,FindByFormula
C48H66O6,1,1,1,1,1,356584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,326805,1,1,1,1,1,1,366653,1,1,318665,337746,1,1,305973,340542,290718,310485,305342,1,1,1,1,1,334720,305650,,"C48H66O6 [ C48 H66 O6, tgt=, overall=19.35, db=19.35 ]",,,C48H66O6,12.647002,"(739.4919, 2219.29)(740.492, 1797.84)(741.4846, 2771.66)",738.4806,,C48 H66 O6,15,FindByFormula
C38H42,1,1,1,1,1,123947,1,1,1,1,1,1,72418,94274,83849,1,1,1,1,1,80976,76655,1,1,74909,1,80202,112125,153245,117218,159450,174690,175598,95227,115442,139174,89716,155725,1,127579,129890,126504,125874,188860,137210,1,83287,104072,70209,107580,112733,,"C38H42 [ C38 H42, tgt=, overall=74.05, db=74.05 ]",,,C38H42,12.234004,"(499.3369, 4188.58)(500.3397, 1537.37)",498.3252,,C38 H42,49,FindByFormula
920.6007@10.618996,1,1,1,18250,17311,1,1,1,1,1,1,26372,16114,1,15631,1,23805,1,1,1,1,1,1,1,1,1,1,49735,75497,147797,1,1,1,1,1,44205,49111,56901,1,1,1,1,26584,58532,1,1,88454,1,1,1,22659,,,,,920.6007@10.618996,10.618996,"(921.6045, 4893.85)(922.6071, 2764.05)",920.6007,,,50,FindByFormula
C33H46N2O7 10.800999,1,1,1,170410,113396,198056,198292,155621,181307,181283,165568,212115,190542,166723,148568,181507,67736,1,254453,80716,251997,169337,223022,261435,162145,40472,159782,28735,524569,69775,773596,137197,131378,52270,76136,101319,41860,435629,402170,625891,678161,552239,1064433,1013651,1491883,259512,120510,1494251,447479,615102,98195,,"C33H46N2O7 [ C33 H46 N2 O7, tgt=, overall=44.40, db=44.40 ]",,,C33H46N2O7 10.800999,10.800999,"(583.3429, 83104.16)(584.3455, 23446.43)",582.3316,,C33 H46 N2 O7,50,FindByFormula
C31H52O7S,1,1,1,1,1,1,960720,592970,911122,1,1,65067,62055,1,1,1,1,1,62531,1,46079,65032,1,33775,1,1,1,83749,107020,109069,124808,120697,119363,81344,90803,94112,82248,1,85000,86399,106156,75470,95073,125275,128509,1,137630,109725,97466,116504,86265,,"C31H52O7S [ C31 H52 O7 S, tgt=, overall=29.64, db=29.64 ]",,,C31H52O7S,11.168,"(569.3493, 2753.24)(570.3582, 61350.65)",568.3498,,C31 H52 O7 S,33,FindByFormula
C28H27N5O2,1,1,1,1,1,1,1,1,1,1,1,1,1,16417,1,1,1,1,1,1,30563,1,1,1,1,1,1,21434,26944,21373,30546,30321,23834,34228,20378,15383,35734,1,1,1,1,1,73548,183438,1,1,16760,1,1,1,18628,,"C28H27N5O2 [ C28 H27 N5 O2, tgt=, overall=66.87, db=66.87 ]",,,C28H27N5O2,6.696003,"(466.2254, 6921.61)(467.2294, 1623.46)",465.2127,,C28 H27 N5 O2,50,FindByFormula
1221.7913@11.384002,1,1,1,149860,134976,138557,121596,74425,108155,116594,104081,111787,1,106936,1,1,1,99094,1,1,1,108212,116792,121410,105867,112040,112955,98466,113407,110227,96706,97572,91730,90914,79614,93396,82432,96157,93977,91021,97405,91259,60371,1,88945,1,99195,79685,88893,94585,95477,,,,,1221.7913@11.384002,11.384002,"(611.9036, 4127.63)(612.3866, 4478.98)",1221.7913,,,42,FindByFormula
880.7456@13.9970045,1,1,1,1,189425,123090,326924,361244,345581,1924284,796649,2635393,1429049,2320290,2247954,3043179,4753972,407591,304376,774716,685828,2957194,2988277,820058,2411692,660650,175914,1,3172233,2494604,1303280,1138163,1258590,1.07E+07,2308763,1455056,1906642,252160,2262649,3514115,2.78E+07,1721772,9833506,416602,7640640,8930901,264295,532134,8542107,5781286,987078,,,,,880.7456@13.9970045,13.9970045,"(881.7554, 444453.66)(882.7587, 259736.25)",880.7456,,,50,FindByFormula
1177.7657@11.389001,1,1,1,153483,149112,132915,111752,67692,1,105098,1,1,1,1,1,1,1,1,1,1,1,1,115101,1,1,1,1,1,1,1,1,1,1,80738,41700,1,1,1,1,1,49555,1,1,1,1,1,1,1,1,1,1,,,,,1177.7657@11.389001,11.389001,"(589.8937, 4396.33)(590.3942, 2587.74)",1177.7657,,,13,FindByFormula
C21H42O7S 10.602998,1,1,1,91202,90272,162746,105301,62982,101276,80246,153882,87079,82375,75262,120351,137270,117427,465167,75251,54335,92864,72417,102783,222639,68199,83261,208271,94536,138353,349866,306820,336560,225775,156295,87893,129766,154512,149744,103383,1,58930,1,123553,260894,155318,1,396147,1,259918,50277,43283,,"C21H42O7S [ C21 H42 O7 S, tgt=, overall=65.12, db=65.12 ]",,,C21H42O7S 10.602998,10.602998,"(439.2726, 36294.27)(440.2759, 4533.93)",438.2559,,C21 H42 O7 S,50,FindByFormula
C22H30N2S,1,1,1,1,1,1,1,1,5854,7226,1,10556,10274,9945,1,1,1,21247,16593,1,15699,6922,16132,15519,7178,1,1,1,34809,40066,1,1,1,61209,113534,91836,94066,94913,69525,25498,61245,13900,1,1,92376,1,1,52680,19072,49189,37184,,"C22H30N2S [ C22 H30 N2 S, tgt=, overall=70.29, db=70.29 ]",,,C22H30N2S,11.350001,"(355.2213, 8159.57)(356.2244, 2259.85)",354.211,,C22 H30 N2 S,50,FindByFormula
688.5774@11.635994,1,1,1,1,1,1,1,55593,1,1,1,1,1,1,1,394103,336023,393191,390837,1,1,1,1,404642,436187,1,1,303140,322818,282176,289756,247456,239213,272535,288085,255253,264096,231931,276099,309816,270932,1,11406,191239,224185,1,210624,1,1,12824,1,,,,,688.5774@11.635994,11.635994,"(689.5915, 8333.73)(690.5938, 4496.5)",688.5774,,,50,FindByFormula
1264.7971@11.074001,1,1,1,63743,51834,52109,54740,32098,43196,52487,45222,73998,53408,49783,45133,78008,97875,81772,70131,41631,58803,56424,77631,81441,62287,57146,56545,106482,106558,106493,88262,75603,82706,198965,133096,179133,138180,134031,158249,72279,81972,66749,100500,129863,112057,1,132292,99342,97424,110966,74371,,,,,1264.7971@11.074001,11.074001,"(633.4031, 5045.45)(633.9047, 3171.2)",1264.7971,,,50,FindByFormula
C32H52N6O8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5591,1,1,163877,1,1,1,1,1,12039,1,16554,1,57901,95345,111387,121993,123158,50187,1,72418,60730,9774,26271,71731,69872,84214,78559,109756,108070,47039,72539,114048,56559,88523,60069,,"C32H52N6O8 [ C32 H52 N6 O8, tgt=, overall=69.68, db=69.68 ]",,,C32H52N6O8,12.078002,"(649.3922, 5086.17)(650.3966, 2113.47)",648.3874,,C32 H52 N6 O8,42,FindByFormula
C27H30N2O5 9.053002,1,1,1,141462,83239,91950,119561,73864,139145,80469,55577,88012,53786,51076,55113,1,92174,180612,74522,99347,75100,42187,88708,42175,64413,94463,65746,1,1,58510,41012,1,1,63777,54151,73292,67896,42504,1,1,1,1,1,40588,1,1,49223,1,1,1,1,,"C27H30N2O5 [ C27 H30 N2 O5, tgt=, overall=79.47, db=79.47 ]",,,C27H30N2O5 9.053002,9.053002,"(463.2228, 13170.68)(464.2262, 3373.47)",462.2161,,C27 H30 N2 O5,50,FindByFormula
C17H22NO2 8.485995,1,1,1,84816,95588,84995,84682,48793,84849,72810,61370,77501,51098,46347,52979,49605,228612,129844,70464,77095,95002,64515,50514,70666,56804,124379,49458,41567,58437,75872,77975,82654,83425,86453,80510,104641,66744,48161,47641,1,1,1,1,64561,1,1,60535,1,1,1,70021,,"C17H22NO2 [ C17 H22 N O2, tgt=, overall=81.69, db=81.69 ]",,,C17H22NO2 8.485995,8.485995,"(273.1723, 14947.74)(274.1753, 2190.7)",272.1623,,C17 H22 N O2,50,FindByFormula
