MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,100ppb_1,250ppb_1,500ppb_1,1000ppb_1,10ppb_2,100ppb_2,500ppb_2,1000ppb_2,250ppb_2,250ppb_3,250ppb_4,m/z,Retention Time,Mass,Ionization mode
1041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,775.1087,877.1473,822.6442,1,1,145.88316,1,1,1,1,1,1,145.07523,1,1,127.0760235,12.667062,128.0832995,Esi-
20,1,1,1,1,1,1116.6746,1580.7418,1011.046,1217.4982,1345.7678,1675.4957,1484.8364,1665.2904,1815.9807,434.1338,1,599.88367,1140.4668,1,1343.2078,1422.4026,2118.2932,1918.9976,1287.0715,1893.6311,1962.5709,377.07596,1,396.11444,1599.6798,1788.1715,1702.0828,1518.3165,1744.9355,1305.6633,1762.1997,1940.9037,1714.927,355.13882,412.74554,375.0358,816.4239,902.78656,928.44336,1,272.75623,1,1,1,1,272.75623,1,1,1,1,1,1,130.9822743,0.82240766,131.9895503,Esi-
28,1,1,1,1,1,134.76692,213.666,191.6318,107.93353,189.89148,1,1,231.03886,182.07578,1,1,86.07854,1,168.31866,1,213.24431,209.84723,246.55104,205.4031,271.40842,158.72984,1,1,1,173.14632,264.6762,223.07402,134.78122,249.95047,1,193.68716,240.20338,223.28789,32.413284,1,35.4362,101.95031,119.49286,127.382416,85.5197,1,1,1,1,1,1,1,1,1,1,1,1,131.9841284,0.8254486,132.9914044,Esi-
247,1,1,1,1,1,3149.5547,3573.318,3608.9097,6948.9907,8111.2437,8800.179,5303.6084,6106.642,6349.844,1,1,1,2569.9204,3321.1313,3267.4397,5944.1704,7043.757,6097.737,4101.26,4542.705,4200.909,1,1,1,4070.8179,4664.669,4104.3267,3956.7725,4511.0005,4127.5884,4445.246,4918.7603,4307.615,1,1,1,3000.324,3305.5764,3427.8555,2980.9382,1,1,1,1,1,1,1,1,1,1,1,1,132.0561918,6.102332,133.0634678,Esi-
17,1,1,1,1,1,256.21356,272.56976,329.50488,1,265.25943,217.71104,1,349.8539,192.6384,1,1,1,139.97769,1,253.29669,1,263.3924,382.95282,299.12555,220.57123,384.03583,1,1,1,309.05875,1,194.17545,163.4074,312.87936,1,1,1,257.69797,1,1,1,125.76857,159.74564,138.86194,1,1,1,1,1,1,1,1,1,1,1,1,1,132.9810238,0.8254478,133.9882998,Esi-
201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,298.569,333.51123,337.55588,1,1,1,175.45473,1,1,1,175.45473,1,1,1,1,133.0655863,5.2677097,134.0728623,Esi-
1031,1,1,1,104.56184,109.300896,179.70665,1,223.94539,1,238.03198,1,1,1,1,173.03001,1,1,1,200.03818,1,1,1,1,215.17226,1,226.22528,1,1,131.00996,229.28369,1,1,1,1,1,1,1,1,144.27051,178.33241,154.10701,1,1,1,1,225.83739,187.8701,209.1526,213.05634,1,225.83739,187.8701,213.05634,1,1,1,1,133.1135729,12.644472,134.1208489,Esi-
104,1,1,1,1,1,2258.3315,2509.5981,2514.6494,482.00803,491.51456,612.22687,1010.30774,1148.0878,1173.0626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,183.90106,181.20595,183.50014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,134.0466346,1.3985536,135.0539106,Esi-
111,1,1,1,1,1,192.92096,324.55383,283.48093,143.85532,142.00146,1,429.38794,450.5407,453.16168,1,1,1,1,1,1,1,1,1,125.44017,1,157.91687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,134.0467252,2.4971213,135.0540012,Esi-
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,332.614,453.70895,441.79037,1,1,1,1,1,1,1,1,1,1,1,1,134.987115,0.88423073,135.994391,Esi-
