MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,10ppb_2,100ppb_1,100ppb_2,250ppb_1,250ppb_2,250ppb_3,250ppb_4,500ppb_1,500ppb_2,1000ppb_1,1000ppb_2,m/z,Retention Time,Mass,Ionization mode
2299,1,1,1,1,1,1,1,1,1,1,1,1,1,137.53621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,409.2018395,7.8630915,408.1945635,Esi+
3785,1,1,1,1,1,144.90707,1,1,141.68471,1,1,1,1,1,1,1,1,1,1,1,189.64761,1,1,1,1,1,1,1,1,1,1,1,218.95885,1,1,247.65056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,409.2045252,10.118492,408.1972492,Esi+
5193,1008.2545,962.9068,1333.9312,1455.6547,1044.0319,953.611,1164.1798,1115.0586,865.18164,895.90356,970.0342,860.9762,1092.4358,1119.9822,811.6439,1182.6815,1166.1786,930.8878,1199.4789,1095.7407,787.2125,1090.2244,896.8068,859.81104,1050.7034,847.8507,1151.3616,1458.0317,1215.3434,764.58344,901.33044,1,983.2967,967.31665,987.04144,1,1,1,1157.8416,1360.644,1102.1324,847.6468,1012.83685,1211.4692,1,802.4978,802.4978,844.55725,844.55725,862.70654,1280.4386,1330.303,966.11005,872.7304,872.7304,988.0413,988.0413,409.2198696,12.979409,408.2125936,Esi+
6591,778.11084,712.87305,870.4422,839.5486,672.21515,622.79584,913.49054,708.3023,640.49225,835.60333,667.1018,665.4772,873.38885,675.8748,773.8525,961.35474,769.46326,751.9731,975.24347,655.70966,690.4542,859.0438,491.03186,660.6475,845.2782,645.5596,858.53046,963.2529,1,716.1237,750.2054,548.96857,749.7032,841.1414,537.9653,830.1332,845.5573,542.1376,860.80853,878.54083,736.4868,788.26263,877.44275,844.3493,512.5528,481.91116,481.91116,720.6506,720.6506,623.45026,949.375,925.8409,480.14783,622.7011,622.7011,643.6914,643.6914,409.3122363,17.055868,408.3049603,Esi+
1366,1,1,1,1,1,1,406.52493,403.53067,1,453.03302,1,224.90575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,528.01984,1,1,1,374.78897,1,625.62524,1,1,1,1,1,200.39272,215.48833,110.07635,1,1,1,1,1,1,1,1,1,1,1,1,410.2319595,5.977406,409.2246835,Esi+
4260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,262.03342,300.41937,320.08673,1,1,1,1,1,42.152737,65.619064,49.83413,42.289364,145.79533,145.79533,1,1,410.2353323,11.14941,409.2280563,Esi+
83,1,1,1,1,1,1,195.43326,1,1,249.7841,278.82468,1,1,1,1,1,1,1,202.02495,1,1,348.60138,1,1,1,227.11768,1,1,1,1,1,1,1,241.2229,1,1,318.46957,1,1,1,1,1,145.8097,1,145.61615,1,1,1,1,1,1,1,1,1,1,1,1,410.9237884,0.73631257,409.9165124,Esi+
3314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2966.163,3185.202,3434.325,2852.2383,1,1,168.89658,168.89658,386.93005,564.7488,1,345.05746,979.49603,979.49603,1891.1002,1891.1002,411.1505984,9.334277,410.1433224,Esi+
2730,1,1,1,1,1,1,1,1,1,1230.5732,1070.7549,1,1,1357.7437,1,1,833.71106,1,1,1687.0023,1,1,1288.4487,1,1,1,1,1,1,1,1,792.35895,1,1,1,1,1,1,537.16125,1,500.30063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,411.1620657,8.344192,410.1547897,Esi+
3722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,195.6978,1,1,1,1,1,1,1,1,1,164.73007,1,1,1,1,1,1,1,1,1,1,1,1,1,411.2013275,10.006133,410.1940515,Esi+
1362,1,1,1,1,1,1,1,1,1,174.06612,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95.67864,1,1,1,1,1,130.29703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,411.2335609,5.9917574,410.2262849,Esi+
4272,1650.6564,1613.2227,1996.8204,2239.0593,1858.1317,1918.2821,2429.3901,2314.4536,1885.3838,1,1,1926.571,2353.8745,2218.334,1961.1161,2435.8499,2058.279,1898.3887,2415.3687,2363.772,1,1,2292.569,2014.7826,2507.136,2226.2961,2199.6396,2577.6394,2192.5183,1,1,1979.9259,1,2549.7014,1843.2356,1,1,2096.7625,2243.8262,2395.6965,2069.6223,1604.018,1853.9913,1962.1697,1,2384.5984,2384.5984,1757.3711,1757.3711,1170.152,1438.8424,1458.6395,1085.327,1535.5663,1535.5663,1157.3207,1157.3207,411.2475699,11.098638,410.2402939,Esi+
2990,1,1,1,1,1,1,1,1,181.89458,282.13757,1,1,1,1,1,1,1,1,1,1,1,164.41344,139.14784,1,1,1,1,1,1,1,1,1,135.33041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,411.2887939,8.70568,410.2815179,Esi+
225,1,1,1,1,1,1,120.163605,119.97114,1,137.51291,1,1,1,1,1,1,1,1,1,1,179.09114,1,215.31651,145.35545,193.89108,1,1,1,1,1,1,1,1,1,120.3338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,411.9262667,0.73264134,410.9189907,Esi+
3921,1,1,1,1,1,1,271.83456,1,1,339.32898,1,1,383.27124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,303.0729,302.315,1,300.0854,287.19992,1,308.4094,344.08383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,412.0571631,10.367949,411.0498871,Esi+
3390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,486.8443,1,660.01697,507.5559,1,1,1,1,1,1,114.78315,78.50041,241.31091,241.31091,457.9843,457.9843,412.1543687,9.404113,411.1470927,Esi+
1129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,167.15897,122.40191,1,1,1,1,1,1,1,1,1,137.25317,1,1,1,105.12741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,412.217272,5.4489045,411.209996,Esi+
5558,98.709,1,1,1,1,1,1,1,1,70.680305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.712257,1,61.30969,1,1,1,62.680317,1,1,1,1,1,1,75.127174,1,1,1,111.09587,111.09587,1,1,115.23865,95.62716,1,1,1,1,412.249276,13.985588,411.242,Esi+
4247,1,447.8559,620.419,1,509.98373,339.94727,537.4477,550.4338,404.21472,508.46686,504.24115,400.73712,556.00244,478.47772,379.56097,661.6965,566.0274,437.51743,560.9612,483.17023,393.55405,510.66568,1,421.19226,536.2378,438.98624,641.0448,759.75903,570.2785,457.71143,451.09943,1,489.9841,506.66772,371.95456,1,514.48846,1,646.1626,634.51855,513.7317,291.2926,393.92242,1,1,1,1,1,1,320.09756,1,443.58746,280.4348,1,1,1,1,412.2517552,11.0993,411.2444792,Esi+
4356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1115.7526,1237.7976,991.70795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,412.3062166,11.235337,411.2989406,Esi+
85,1,1,1,1,1,1,1,1,1,166.81511,1,1,1,1,1,1,1,1,125.391945,1,211.69318,249.4942,1,184.31375,1,183.6382,1,1,1,1,1,1,1,190.377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,412.9227086,0.7246022,411.9154326,Esi+
2661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,230.88745,265.94824,1,1,1,1,1,1,1,1,1,1,1,1,1,1,413.039046,8.2217655,412.03177,Esi+
2697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,696.5518,1,1,1,1,1,537.8094,1,231.59459,1,1,439.24725,389.47632,1,529.1989,1,1,824.85486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,413.1595511,8.344417,412.1522751,Esi+
