# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C27H50O6,1,1,1,160339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,116320,1,1,1,1,1,1,195905,163213,36044,1,37111,1,1,1,1,1,1,1,1,1,21208,36424,116284,39381,1,1,1,345126,1,148341,,"C27H50O6 [ C27 H50 O6, tgt=, overall=61.63, db=61.63 ]",,,C27H50O6,FindByFormula,C27 H50 O6,51,,470.3623,"(939.7145, 10321.6)(940.7181, 5825.54)(469.3618, 1376.52)",14.2529955
C21H15ClF3N5O3S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56597,28882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,258263,311017,435264,213817,242532,226229,1,1,1,1,1,1,,"C21H15ClF3N5O3S [ C21 H15 Cl F3 N5 O3 S, tgt=, overall=28.98, db=28.98 ]",,,C21H15ClF3N5O3S,FindByFormula,C21 H15 Cl F3 N5 O3 S,51,,509.0587,"(508.0528, 45540.01)(509.0555, 9044.75)(510.0574, 1688.69)",8.862
640.541@14.224996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24020,106553,493728,1,94394,102860,172896,1,1,140882,18382,142345,1,1,1,26191,93504,18588,1,1,1,44378,1,78464,,,,,640.541@14.224996,FindByFormula,,51,,640.541,"(639.5266, 43993.98)(640.5299, 17339.86)(641.5328, 4224.09)",14.224996
C28H52N2O6 12.3569975,1,1,1,138581,55047,173172,68260,1,66824,91018,68247,86608,97626,92208,96812,1,1,1,66815,1,94283,100293,56284,75784,87067,1,95939,770052,710217,1806824,1,136150,243338,105117,182583,210842,112679,171638,277302,152185,198839,550567,589543,3530637,790632,54907,65845,1,184562,158090,412230,,"C28H52N2O6 [ C28 H52 N2 O6, tgt=, overall=79.12, db=79.12 ]",,,C28H52N2O6 12.3569975,FindByFormula,C28 H52 N2 O6,51,,512.3747,"(511.3719, 282655.1)(512.3748, 83867.69)(513.376, 17359.04)",12.3569975
C6H2F4S 6.5870028,1,13423,1,258147,216424,699187,110446,1,109272,112733,271148,115948,137263,130107,119739,52315,713237,686048,102279,565045,99012,111832,248281,105933,233949,94058,535547,99330,212735,178438,1,586810,1,1,285277,704993,1,1,503678,252181,246189,803551,585413,206503,629614,91980,68887,591837,88886,85207,82537,,"C6H2F4S [ C6 H2 F4 S, tgt=, overall=74.57, db=74.57 ]",,,C6H2F4S 6.5870028,FindByFormula,C6 H2 F4 S,51,,181.981,"(180.9734, 18719.98)(181.9762, 623.31)",6.5870028
669.6441@14.757997,1,1,1,34465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41227,1,1,1,1,1,1,122031,317014,558002,1,105125,126218,286854,22184,29405,130094,88681,136293,33112,28848,1,66570,74797,53514,1,1,1,31161,1,168940,,,,,669.6441@14.757997,FindByFormula,,51,,669.6441,"(668.6242, 20804.9)(669.6276, 8588.38)",14.757997
C22H18N2O2S,1,1,1,118560,133108,134180,144798,123181,145341,140243,142069,138455,133361,122283,114719,113291,140801,113295,130129,96732,151974,104266,107020,104379,128031,124910,130649,120065,204834,70665,1,341007,16496,50580,89087,148203,45120,84991,40918,123972,148060,314645,227884,286689,249051,228832,229934,395151,148629,136339,117753,,"C22H18N2O2S [ C22 H18 N2 O2 S, tgt=, overall=93.23, db=93.23 ]",,,C22H18N2O2S,FindByFormula,C22 H18 N2 O2 S,51,,374.1082,"(373.1006, 8784.47)(374.1029, 2342.32)(375.1031, 547.3)",8.769004
C28H43FN2O,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76574,151802,123194,1,1,61427,1,1,1,85533,1,62371,1,1,1,68252,446372,84835,1,1,1,1,1,1,,"C28H43FN2O [ C28 H43 F N2 O, tgt=, overall=79.75, db=79.75 ]",,,C28H43FN2O,FindByFormula,C28 H43 F N2 O,51,,442.3317,"(441.328, 26440.37)(442.3311, 7172.05)",12.403009
C32H46N2O 12.704999,1,1,1,75599,52444,103377,55849,45832,99164,64141,70606,67935,93920,79111,74146,90284,73161,63142,69472,68992,70257,54691,79958,103823,74856,65944,67334,1,220225,264845,1,86245,532687,173541,95417,109563,515835,163447,615697,58540,67299,93855,232030,1612587,206072,65281,1,1,74224,94843,98344,,"C32H46N2O [ C32 H46 N2 O, tgt=, overall=81.56, db=81.56 ]",,,C32H46N2O 12.704999,FindByFormula,C32 H46 N2 O,51,,474.3812,"(473.3559, 194019.8)(474.3591, 52483.78)(475.3591, 9971.41)",12.704999
C11H14F4O2,1,1,1,21780,1,28447,1,1,1,1,1,1,35322,26958,1,1,22427,1,1,1,1,1,1,21235,1,1,1,71214,78304,32557,1,1,1,1,1,1,1,1,1,29686,27118,53688,280527,430104,338220,36499,49924,64573,70618,59014,43038,,"C11H14F4O2 [ C11 H14 F4 O2, tgt=, overall=99.54, db=99.54 ]",,,C11H14F4O2,FindByFormula,C11 H14 F4 O2,51,,254.0926,"(507.1753, 2041.14)(508.1776, 778.55)(253.0855, 31750.69)(254.0889, 3702.38)(255.091, 549.84)",9.924995
C6H10O4,1,1,1,316229,286843,292161,240563,140245,252557,255957,235649,256872,331887,328069,333063,40708,487241,336126,337592,185865,369558,241958,287621,158811,231756,263558,241614,207413,330029,200275,57585,313842,151871,130096,93475,223564,231980,176601,169546,306321,354851,452682,367294,372101,325410,316503,257311,387720,355133,354593,224380,,"C6H10O4 [ C6 H10 O4, tgt=, overall=86.82, db=86.82 ]",,,C6H10O4,FindByFormula,C6 H10 O4,51,,146.0583,"(145.051, 48232.46)(146.0544, 3353.61)",3.358999
C27H25IP,1,1,1,34366,13679,19491,1,1,19848,1,1,24594,21832,23092,16762,1,25635,15721,22864,1,32080,1,1,28260,27758,1,45080,201658,252979,327602,107771,254105,439733,164414,94508,91143,281801,254616,276119,130569,122226,93356,121648,141610,152181,83987,118103,91206,82095,146511,86152,,"C27H25IP [ C27 H25 I P, tgt=, overall=68.93, db=68.93 ]",,,C27H25IP,FindByFormula,C27 H25 I P,51,,507.0756,"(506.0678, 54350.08)(507.0705, 6896.54)(508.0719, 1779.87)",1.1809999
CHNO3S,1,1,1,1,1,63647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,371405,507231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90651,65659,1,1,1,1,1,1,,"CHNO3S [ C H N O3 S, tgt=, overall=76.93, db=76.93 ]",,,CHNO3S,FindByFormula,C H N O3 S,44,,106.9676,"(105.9609, 67384.08)(106.9629, 1200.3)",0.9900003
C13H23N4O5S,1,1,1,22548,1,11630,1,1,12109,1,1,14228,1,1,1,1,18374,12480,13961,1,20316,1,1,1,14062,1,21121,281498,418870,326953,20113,449722,223839,129801,71527,98810,188979,276454,192448,165681,167322,111000,157458,179047,137385,102670,86462,88989,49599,124653,70793,,"C13H23N4O5S [ C13 H23 N4 O5 S, tgt=, overall=89.12, db=89.12 ]",,,C13H23N4O5S,FindByFormula,C13 H23 N4 O5 S,51,,347.1384,"(346.1307, 60925.49)(347.1339, 7198.37)(348.136, 1397.22)",1.2729996
709.6706@15.211994,1,1,1,48293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40233,1,1,1,1,1,1,90143,322450,492301,1,86461,87394,192756,1,19616,81713,52133,90615,18180,16044,1,53785,80711,38303,1,1,1,20559,1,105159,,,,,709.6706@15.211994,FindByFormula,,51,,709.6706,"(708.6544, 33780.35)(709.6574, 16041.65)(710.6596, 4109.83)",15.211994
C23H38N2O4,1,1,1,1,1,1,1,1,1,1,1,1,1,296720,1,45176,1,1,107529,1,1,1,1,1,1,1,1,18623,17585,52913,1,1,97931,1,1,1,42407,1,40807,1,1,1,27593,34490,15770,1,1,1,1,1,1,,"C23H38N2O4 [ C23 H38 N2 O4, tgt=, overall=53.12, db=53.12 ]",,,C23H38N2O4,FindByFormula,C23 H38 N2 O4,51,,406.28,"(405.2718, 6769.08)(406.2744, 1784.69)",12.293006
C40H74O7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26444,90311,466091,1,84527,103028,151759,1,15106,234421,29446,271605,1,1,13221,32412,145257,43412,1,1,1,61475,1,130296,,"C40H74O7 [ C40 H74 O7, tgt=, overall=61.84, db=61.84 ]",,,C40H74O7,FindByFormula,C40 H74 O7,51,,666.5593,"(665.543, 39823.82)(666.5462, 16984.69)(667.5507, 4957.85)",14.224996
C8H14O,1,1,1,304375,293429,317790,288512,194465,291671,280824,244880,278479,273979,249076,235424,122406,378047,278370,331778,215276,376354,288973,327079,335885,244871,257594,239316,262582,330572,118183,23115,408015,67736,79676,99763,273408,100216,117835,81162,249651,305710,391335,381617,372692,370468,390652,378897,473436,348307,323553,46058,,"C8H14O [ C8 H14 O, tgt=, overall=87.02, db=87.02 ]",,,C8H14O,FindByFormula,C8 H14 O,51,,126.1046,"(125.0975, 37807.0)(126.1005, 3084.88)",6.875
C30H47F5O2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141858,197791,93364,1,33220,1,1,44852,72388,1,1,1,24181,61320,170963,149451,425233,159012,1,1,1,71153,74720,91282,,"C30H47F5O2 [ C30 H47 F5 O2, tgt=, overall=72.35, db=72.35 ]",,,C30H47F5O2,FindByFormula,C30 H47 F5 O2,51,,534.358,"(533.347, 4741.31)(534.3494, 1502.59)(535.3503, 314.39)",12.433002
C29H33N2P,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171129,1,48750,401050,60125,32721,34719,139422,45326,118650,38122,1,34909,29913,183784,102361,1,1,1,1,1,1,,"C29H33N2P [ C29 H33 N2 P, tgt=, overall=82.37, db=82.37 ]",,,C29H33N2P,FindByFormula,C29 H33 N2 P,51,,440.238,"(439.2289, 2747.66)(440.2322, 703.51)(441.2256, 32.83)",10.572999
C7H6O4,1,1,1,120663,126908,45638,1,1,47260,31260,39316,38743,213341,186845,67967,29301,111153,73265,1,69621,1,58298,1,127342,27918,130919,28827,92178,138635,61864,1,259668,1,54056,100511,207169,120630,204777,127890,242282,282599,332134,426243,465614,458525,128688,212960,240568,1,167050,168421,,"C7H6O4 [ C7 H6 O4, tgt=, overall=85.64, db=85.64 ]",,,C7H6O4,FindByFormula,C7 H6 O4,51,,154.0272,"(153.0199, 25618.93)(154.0232, 2135.54)",3.186
C6H4N6O5,1,1,1,369243,348423,348843,328319,225412,374725,403294,346273,383725,371282,407791,415321,68385,537690,422214,379309,251043,432266,392645,486650,321994,487397,505834,506809,253381,348370,150660,1,336376,1,60536,192350,374884,164657,141972,146110,350492,389388,408055,416821,402351,424859,374234,340901,414754,386938,434256,231164,,"C6H4N6O5 [ C6 H4 N6 O5, tgt=, overall=83.05, db=83.05 ]",,,C6H4N6O5,FindByFormula,C6 H4 N6 O5,51,,240.0261,"(239.017, 14368.38)(240.0206, 891.12)",1.9619998
C29H45O4P,1,1,1,81786,66969,109004,75887,43531,73976,72312,65136,93137,145301,124606,88487,74656,115224,77401,77935,40166,99986,49237,65794,86125,78436,75689,71069,86775,176062,395834,37053,111669,304484,225525,154685,165262,228737,105781,190797,91624,105508,159119,215568,485892,196231,26422,38947,50395,104229,68279,43675,,"C29H45O4P [ C29 H45 O4 P, tgt=, overall=92.08, db=92.08 ]",,,C29H45O4P,FindByFormula,C29 H45 O4 P,51,,488.3017,"(487.2978, 22963.29)(488.3009, 5994.66)(489.3085, 1392.12)",11.734004
C31H47N5O9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62547,506070,52397,182011,545667,192454,195662,102392,428408,300292,389193,129858,64563,53707,114448,527014,374472,1,24647,1,1,1,1,,"C31H47N5O9 [ C31 H47 N5 O9, tgt=, overall=76.51, db=76.51 ]",,,C31H47N5O9,FindByFormula,C31 H47 N5 O9,51,,633.3327,"(632.3262, 16762.93)(633.3293, 4963.07)(634.3327, 1237.07)",15.315996
662.4294@11.454001:2,1,1,1,133133,83845,178989,155437,89650,162330,127683,102450,140731,139488,120386,89239,175646,194667,115394,219539,89032,264488,152641,247497,311336,88300,84043,100760,974008,1302127,2239920,313395,571647,2744313,688333,1509620,920250,786402,443826,737848,436721,657208,1300822,1376025,3051826,1977882,478371,1522724,875329,804285,691763,399026,,,,,662.4294@11.454001:2,FindByFormula,,51,,662.4294,"(661.4273, 182072.64)(662.4301, 62282.44)(663.4322, 13405.51)(664.4328, 2930.64)",11.454001
C22H38N6O8,1,1,1,96638,84970,102664,94297,32742,97550,92197,70970,93135,59618,47773,41381,54490,145446,57930,117936,33017,147513,76325,116393,114073,59067,60699,62576,48309,129861,59401,1,314112,1,27244,15662,117574,1,11856,1,70440,116213,209788,196706,222341,191417,236816,181952,380744,123198,123968,71755,,"C22H38N6O8 [ C22 H38 N6 O8, tgt=, overall=79.97, db=79.97 ]",,,C22H38N6O8,FindByFormula,C22 H38 N6 O8,51,,514.2824,"(513.2713, 52898.14)(514.2745, 13241.39)(515.2766, 2762.3)",7.4209986
C22H4Cl10O2S2,1,1,1,30749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33397,1,1,1,1,1,1,105118,269005,489311,1,79008,112452,235155,1,1,96409,58614,115493,30952,26676,1,58408,64142,50210,1,1,1,1,1,131193,,"C22H4Cl10O2S2 [ C22 H4 Cl10 O2 S2, tgt=, overall=44.34, db=44.34 ]",,,C22H4Cl10O2S2,FindByFormula,C22 H4 Cl10 O2 S2,51,,713.6705,"(712.6499, 21297.85)(713.6536, 9337.37)(714.6563, 2325.02)",14.708007
C33H58N2O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,185370,294088,388366,1,1,513443,146949,1,61700,480120,136589,562254,1,1,74838,102579,442406,100829,1,1,1,1,1,1,,"C33H58N2O4 [ C33 H58 N2 O4, tgt=, overall=55.12, db=55.12 ]",,,C33H58N2O4,FindByFormula,C33 H58 N2 O4,51,,546.4349,"(545.4284, 10181.41)(546.4317, 3523.2)",12.778996
542.3897@12.441998,1,1,1,105249,1,117184,1,1,1,75004,1,76430,1,1,1,1,1,1,1,1,85433,1,1,1,1,1,1,418992,512612,289453,1,174116,170086,93121,105061,208819,155433,110662,170435,152232,142250,430654,274404,638282,303189,1,75676,1,139767,146925,265987,,,,,542.3897@12.441998,FindByFormula,,51,,542.3897,"(541.3828, 19470.63)(542.3851, 6977.75)(543.3889, 1807.74)",12.441998
C29H59O5P 12.58399,1,1,1,160627,110056,201544,123571,1,132594,127054,116883,140907,198086,172888,122839,146517,136647,114592,100929,1,124480,90428,118362,165041,1,133588,108968,350520,582449,990827,1,83035,569915,377044,160962,174565,1185992,337909,1424237,1,1,212961,263861,1054898,260639,1,1,1,85732,92744,95264,,"C29H59O5P [ C29 H59 O5 P, tgt=, overall=38.11, db=38.11 ]",,,C29H59O5P 12.58399,FindByFormula,C29 H59 O5 P,51,,518.4012,"(517.3958, 23752.48)(518.3995, 7740.62)",12.58399
C33H42O6,1,1,1,43322,1,38519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47660,1,1,45718,1,1,1,78173,103854,274003,1,33215,70944,87188,1,1,92090,46969,59088,1,1,1,1,67959,1,1,1,1,1,1,69767,,"C33H42O6 [ C33 H42 O6, tgt=, overall=60.30, db=60.30 ]",,,C33H42O6,FindByFormula,C33 H42 O6,51,,534.3046,"(533.2941, 7415.56)(534.2973, 2315.33)",11.841002
C21H24N4O6,1,1,1,89433,31360,106548,47504,25207,46200,55566,56736,57510,115994,92975,64479,148521,123298,124540,71288,23601,97468,55505,81210,152763,56388,90627,73211,81986,94101,335554,1,25703,466332,168339,97201,80505,333883,148965,282282,34803,55200,103227,104422,244258,116873,17074,1,36955,30794,96452,114086,,"C21H24N4O6 [ C21 H24 N4 O6, tgt=, overall=90.53, db=90.53 ]",,,C21H24N4O6,FindByFormula,C21 H24 N4 O6,51,,428.1703,"(427.1626, 47838.56)(428.165, 15065.99)(429.1663, 3848.96)",12.164998
C26H30FN3O2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18816,385007,338793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,119093,166788,191201,1,1,1,1,1,1,,"C26H30FN3O2 [ C26 H30 F N3 O2, tgt=, overall=96.90, db=96.90 ]",,,C26H30FN3O2,FindByFormula,C26 H30 F N3 O2,51,,435.2306,"(434.2254, 36793.32)(435.2282, 9401.73)(436.2306, 1362.23)",9.260003
C22H44N8O6,1,1,1,105604,83711,135101,138491,79315,122770,88964,69427,113684,24549,83021,65500,69461,131861,82229,93757,58290,120001,82068,128291,128478,78423,94774,79025,225110,340795,101461,1,377451,81442,67174,119450,241704,82084,125875,116483,112813,186147,347176,294190,439394,333654,202357,289475,395540,246963,240145,140265,,"C22H44N8O6 [ C22 H44 N8 O6, tgt=, overall=90.59, db=90.59 ]",,,C22H44N8O6,FindByFormula,C22 H44 N8 O6,51,,516.3324,"(515.329, 22771.6)(516.3321, 6503.4)(517.3332, 1581.54)",10.774998
739.5321@15.250996,1,1,1,1,1,1,1,1,1,1,1,1,38004,1,1,41039,1,1,1,1,1,1,20347,32787,1,1,1,1,1,444668,1,30415,172550,191648,42812,28916,310988,116656,242737,1,1,1,37079,36111,1,1,1,1,1,1,1,,,,,739.5321@15.250996,FindByFormula,,51,,739.5321,"(738.5116, 18636.34)(739.515, 8431.56)(740.5182, 2232.66)",15.250996
C22H38O5 14.237,1,1,37390,70348,1,1,1,1,1,1,32912,1,1,1,18390,1,1,1,1,1,69545,1,1,1,1,1,1,194262,155021,1,1,1,22642,1,1,38397,31335,45828,1,1,29521,1,19099,72614,38383,1,1,1,189494,1,26824,,"C22H38O5 [ C22 H38 O5, tgt=, overall=69.11, db=69.11 ]",,,C22H38O5 14.237,FindByFormula,C22 H38 O5,51,,382.3075,"(763.6138, 13620.15)(764.6171, 6891.55)(381.2624, 34950.96)(382.2649, 8112.39)",14.237
C38H22O,1,1,1,112079,110987,127659,123738,93017,145394,146344,149188,147361,176189,164712,160038,179496,198090,169282,186562,111311,201075,171351,213842,221436,204948,187017,213010,170641,214690,330828,107497,340605,321288,371912,416718,394944,387229,452782,426469,367210,415296,450838,371904,382243,364055,375856,275767,440156,351464,401565,346171,,"C38H22O [ C38 H22 O, tgt=, overall=87.95, db=87.95 ]",,,C38H22O,FindByFormula,C38 H22 O,51,,494.1645,"(493.1597, 29222.58)(494.1621, 9671.64)(495.1636, 2832.54)",8.0650015
C50H75O10P,1,1,1,180693,161792,207435,217541,91713,223968,174945,141496,180831,137605,112442,91160,95574,223982,128701,153335,53698,186360,124314,173447,169408,121330,142859,126341,151665,246319,34788,1,435416,1,1,46593,228830,1,41828,1,158756,223399,313184,219211,224397,217699,291007,239300,335353,208904,206765,150148,,"C50H75O10P [ C50 H75 O10 P, tgt=, overall=67.74, db=67.74 ]",,,C50H75O10P,FindByFormula,C50 H75 O10 P,51,,866.5114,"(865.4966, 36910.71)(866.4997, 16616.49)(867.5024, 4638.56)(868.5052, 1108.22)",8.764005
C18H28N4O,1,1,1,101325,95073,117226,103688,64338,132089,102514,71676,96720,96995,88654,68727,91050,148696,81167,108521,55251,121287,98055,131287,136834,84576,81146,76485,151863,238299,35313,1,310185,27114,37111,62212,214897,18802,49687,29009,128617,165106,299026,281488,354448,291429,243312,235793,401433,222076,208574,147160,,"C18H28N4O [ C18 H28 N4 O, tgt=, overall=97.41, db=97.41 ]",,,C18H28N4O,FindByFormula,C18 H28 N4 O,51,,316.2286,"(315.2197, 42452.91)(316.2229, 8241.34)(317.2252, 1179.47)",10.313998
C4H8O3 1.3339998,1,1,1,175040,168475,194369,212216,150250,175654,259426,232216,210400,399957,373379,308779,96641,462517,405483,309394,181840,318724,288594,290467,286826,436463,431509,448484,1,1,1,1,1,1,200901,1,1,1,527924,1,1,1,1,1,1,1,1,1,1,1,1,413748,,"C4H8O3 [ C4 H8 O3, tgt=, overall=87.78, db=87.78 ]",,,C4H8O3 1.3339998,FindByFormula,C4 H8 O3,51,,104.0472,"(103.0401, 48582.66)(104.0432, 2284.33)",1.3339998
552.4799@13.1919985,1,1,1,111307,1,90613,1,1,1,66214,1,1,99397,84817,1,1,76059,70252,1,1,80007,1,1,112263,1,81913,76825,416138,299070,684797,1,1,373106,166286,1,1,389831,148419,650506,1,1,123336,141271,643942,152708,1,1,1,1,1,92633,,,,,552.4799@13.1919985,FindByFormula,,51,,552.4799,"(551.4672, 983.96)(552.471, 398.92)(553.4826, 119.99)",13.1919985
C20H22N4O4,1,1,1,379212,388656,330656,108987,69892,118661,79825,52632,169877,1,1,1,1,63857,35392,81008,46748,96352,144882,362372,214938,38078,43746,36528,36410,61862,1,1,100940,1,1,1,26665,1,1,1,104131,122788,171915,49142,52671,46671,289971,264746,365294,314588,302459,191360,,"C20H22N4O4 [ C20 H22 N4 O4, tgt=, overall=97.44, db=97.44 ]",,,C20H22N4O4,FindByFormula,C20 H22 N4 O4,51,,382.1673,"(381.1571, 23561.59)(382.1605, 4859.43)(383.1634, 961.32)",8.859994
C40H70N2O4SSi2,1,1,1,32736,27831,50525,32349,26511,36340,26725,21229,34572,41028,35507,22901,33687,42236,26964,32632,35015,41508,1,46630,40679,24866,32507,23832,94854,140015,212836,1,77698,155849,112523,136288,123280,195244,116101,244554,136229,81938,126183,156963,422925,258749,1,91439,52151,103454,88056,61839,,"C40H70N2O4SSi2 [ C40 H70 N2 O4 S Si2, tgt=, overall=74.18, db=74.18 ]",,,C40H70N2O4SSi2,FindByFormula,C40 H70 N2 O4 S Si2,49,,730.4592,"(729.4536, 14336.44)(730.4568, 5659.08)(731.4592, 1752.99)(732.4616, 463.22)",11.468997
C30H46NO,1,1,1,1,1,49523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,177718,246911,291575,1,1,290064,69321,1,1,272708,58658,288100,1,1,68817,62721,468963,60957,1,1,1,1,1,1,,"C30H46NO [ C30 H46 N O, tgt=, overall=64.19, db=64.19 ]",,,C30H46NO,FindByFormula,C30 H46 N O,51,,436.3568,"(435.3529, 11501.24)(436.3564, 3309.25)",12.670001
C20H26O9,1,1,1,392234,377537,386025,386073,355556,385959,347371,366543,347891,341753,332788,335967,333081,347122,335574,331168,309202,351272,320956,313915,309913,339804,340071,335478,276065,255205,272134,97807,280639,71289,196477,270832,277910,191015,277927,186880,279154,254721,220364,223220,207927,213983,241780,215004,224225,242653,265670,296291,,"C20H26O9 [ C20 H26 O9, tgt=, overall=94.37, db=94.37 ]",,,C20H26O9,FindByFormula,C20 H26 O9,51,,410.1569,"(409.1503, 29561.67)(410.1539, 5010.84)(411.156, 1012.0)",8.744997
C26H30N4,1,1,1,30414,1,36034,22130,1,21596,29167,28055,27119,46776,42369,28650,68155,55066,68982,35301,1,48945,36845,51770,88350,37577,67789,51935,72826,73375,244017,1,21340,355879,118249,67427,59791,267981,150027,215666,29787,41795,82203,83141,129133,107427,1,1,29724,26257,90381,131420,,"C26H30N4 [ C26 H30 N4, tgt=, overall=95.57, db=95.57 ]",,,C26H30N4,FindByFormula,C26 H30 N4,51,,398.2472,"(397.2401, 31389.32)(398.2432, 7923.54)(399.2458, 1619.51)",12.383996
C25H35N2O7P,1,1,1,90002,93633,62265,78488,52525,85250,50670,37349,81310,61585,54904,1,30448,120178,73145,99411,65120,122899,51591,101123,72247,93029,76134,91896,32337,45055,1,1,205869,1,1,32481,96672,26897,47087,26094,114691,130526,201282,118609,115800,118031,235183,153262,361151,192788,118347,91375,,"C25H35N2O7P [ C25 H35 N2 O7 P, tgt=, overall=95.98, db=95.98 ]",,,C25H35N2O7P,FindByFormula,C25 H35 N2 O7 P,51,,506.2192,"(505.2099, 28155.53)(506.2129, 7348.3)(507.2171, 1866.18)",9.868004
631.5646@14.1849985,1,1,1,33691,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48996,1,1,1,1,1,1,201335,445168,436323,1,75572,114218,201139,18457,29609,167080,46061,120628,1,18638,18338,108240,165639,57286,1,1,1,55402,21170,392707,,,,,631.5646@14.1849985,FindByFormula,,51,,631.5646,"(630.5491, 44512.64)(631.5506, 15386.59)(632.5528, 3505.77)",14.1849985
C19H38O3S,1,1,1,40728,1,50379,1,1,1,1,1,1,87579,72150,51039,84254,1,1,1,1,36058,1,1,45924,1,1,1,61902,73087,394887,1,1,82107,154292,67227,71023,352296,132827,334535,59583,78220,151117,118822,333810,196932,1,139978,24507,73834,144230,86500,,"C19H38O3S [ C19 H38 O3 S, tgt=, overall=91.00, db=91.00 ]",,,C19H38O3S,FindByFormula,C19 H38 O3 S,51,,346.2569,"(345.2474, 25987.11)(346.2508, 5774.62)(347.254, 852.79)",11.377007
C9H15NO2,1,1,1,196339,189367,218757,200563,119729,202337,207063,171731,198171,171121,141336,129273,158166,248866,174085,208801,117998,233935,181309,225415,236876,134076,157387,129131,163296,256849,70930,15236,366489,20988,46385,85938,217799,38403,66962,32360,163422,206880,308872,272850,300091,284756,313336,306967,419183,254885,225048,177021,,"C9H15NO2 [ C9 H15 N O2, tgt=, overall=84.97, db=84.97 ]",,,C9H15NO2,FindByFormula,C9 H15 N O2,51,,169.1116,"(168.1037, 40827.86)(169.1068, 3841.09)",6.6759973
C12H12N3O4,1,1,1,35370,31981,33243,20785,1,22712,16107,1,16112,54945,45460,35197,40647,54723,47726,42697,23473,49290,62170,73248,82541,34714,30766,33284,1,1,1,1,35730,1,1,21263,60953,1,1,1,52710,58373,87964,119955,146107,147048,156820,131874,227294,65326,54916,34619,,"C12H12N3O4 [ C12 H12 N3 O4, tgt=, overall=89.83, db=89.83 ]",,,C12H12N3O4,FindByFormula,C12 H12 N3 O4,51,,262.086,"(523.1591, 14944.18)(524.1627, 4018.11)(525.1662, 806.24)(261.0757, 9554.2)(262.0793, 1142.62)",8.837003
